,history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day),rlon,rlat
0,15,CHEMAINUS,BC,-123.742,48.935,75,11,-3,25,2661,-17.245770999404836,4.407282646003369
1,26,COWICHAN LAKE FORESTRY,BC,-124.133,48.8244,177,10,-5,23,3041,-17.525926516978938,4.3892107164985825
2,36,DUNCAN KELVIN CREEK,BC,-123.728,48.7347,103,10,-5,22,2948,-17.303867938119573,4.215322145055859
3,42,ESQUIMALT HARBOUR,BC,-123.439,48.431999999999995,3,10,-2,19,2934,-17.22336588045333,3.866425232576927
4,58,MAYNE ISLAND,BC,-123.32,48.8447,28,10,-4,23,2853,-17.013034013429962,4.230411485119604
5,71,PENDER ISLAND,BC,-123.3,48.7667,26,11,-3,23,2614,-17.026181374218073,4.152401361104286
6,73,POINT-NO-POINT,BC,-123.991,48.4058,25,10,0,19,2751,-17.578440910942895,3.963422315456985
7,74,PORT RENFREW,BC,-124.32600000000001,48.5917,10,9,-3,21,3163,-17.725059953436716,4.213316731602393
8,76,RACE ROCKS LIGHTSTATION,BC,-123.53299999999999,48.3,5,10,-3,17,3043,-17.326055028011574,3.7623786139938704
9,78,SAANICHTON CDA,BC,-123.419,48.6217,61,10,-3,23,2832,-17.148279564593953,4.041211914509844
10,83,SALTSPRING IS CUSHEON LK,BC,-123.477,48.8203,108,9,-7,22,3318,-17.11894825465191,4.241337519531197
11,90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,11,-4,21,2770,-16.861279139610314,4.113870510243994
12,91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,10,-6,24,3009,-17.269400328837698,4.110152086638713
13,93,SHERINGHAM POINT,BC,-123.921,48.3767,7,10,-1,20,2883,-17.544311929153427,3.920431847725504
14,106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,11,-2,21,2621,-17.13098660583699,3.860863145810521
15,109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,11,-2,23,2716,-17.157965052632917,3.823732054743596
16,121,VICTORIA MARINE,BC,-123.75,48.3667,32,9,-4,19,3180,-17.440320329245736,3.8731095045639248
17,129,WILLIAM HEAD,BC,-123.539,48.3397,12,10,-2,20,2721,-17.31669566203045,3.801170263662011
18,149,ALERT BAY,BC,-126.93299999999999,50.5833,59,9,-4,18,3377,-18.602265614133806,6.6747472272446595
19,159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,9,-7,24,3272,-17.835905794927697,5.703163327113734
20,168,CAPE MUDGE,BC,-125.195,49.9985,5,10,-3,23,2909,-17.772274199447,5.7292229190181025
21,170,CHATHAM POINT,BC,-125.446,50.3332,23,10,-4,20,3103,-17.80527022983485,6.099084371860609
22,174,COMOX A,BC,-124.9,49.7167,26,10,-4,23,2952,-17.69177543345937,5.398827057118161
23,176,COOMBS,BC,-124.429,49.3058,98,9,-5,23,3284,-17.545222341415535,4.907850733280436
24,177,CORTES ISLAND,BC,-125.03299999999999,50.0833,6,10,-5,23,2849,-17.644526660186763,5.772355128433861
25,179,CORTES ISLAND TIBER BAY,BC,-124.949,50.0714,15,10,-4,22,3027,-17.597887925199913,5.742449973970442
26,203,LITTLE QUALICUM HATCHERY,BC,-124.512,49.3528,30,9,-6,22,3265,-17.58015042905721,4.970492681486545
27,209,MUD BAY,BC,-124.794,49.4708,4,10,-6,23,3091,-17.71243915585017,5.144338579927795
28,214,NANAIMO A,BC,-123.87,49.0544,28,10,-5,24,2982,-17.285246670498605,4.547856150701866
29,226,PINE ISLAND,BC,-127.728,50.9758,28,9,-2,17,3270,-18.92339385005706,7.227129819046011
30,228,PORT HARDY A,BC,-127.366,50.6803,22,8,-4,18,3469,-18.822471420345344,6.867169200978581
31,236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,10,-4,22,3079,-17.630534663570668,5.032427849855934
32,248,UPPER CAMPBELL LAKE,BC,-125.633,49.9,549,8,-9,25,3588,-18.072241886765422,5.736421768491468
33,249,ENTRANCE ISLAND,BC,-123.809,49.2089,7,11,-1,21,2636,-17.195737935424567,4.680156506521059
34,260,AMPHITRITE POINT,BC,-125.541,48.9211,27,10,-1,19,2905,-18.364311095688628,4.79980848701342
35,264,BAMFIELD EAST,BC,-125.117,48.8333,4,10,-2,20,3071,-18.133245871845638,4.619705458344962
36,268,CAPE BEALE LIGHT,BC,-125.21600000000001,48.7861,26,10,-1,20,2979,-18.211071960248056,4.598239668615089
37,270,CAPE SCOTT,BC,-128.42700000000002,50.7822,72,9,-2,17,3213,-19.408809155479275,7.217536626163485
38,277,ESTEVAN POINT,BC,-126.54299999999999,49.3833,6,10,-1,18,3032,-18.811593513119927,5.466629246781768
39,280,GOLD RIVER TOWNSITE,BC,-126.055,49.7789,119,10,-7,24,3263,-18.371201899434844,5.720612188164001
40,298,NITINAT RIVER HATCHERY,BC,-124.655,48.8594,15,10,-4,23,3115,-17.838013524950405,4.539017149256139
41,299,NOOTKA LIGHTSTATION,BC,-126.617,49.6,16,10,-1,22,2848,-18.77692499938009,5.685898010188604
42,300,PACHENA POINT,BC,-125.09700000000001,48.7228,37,10,-1,20,3112,-18.159479475326084,4.511538415015823
43,302,PORT ALBERNI A,BC,-124.833,49.25,2,10,-6,23,3077,-17.81291919406879,4.945895438594795
44,309,QUATSINO,BC,-127.65299999999999,50.5336,3,9,-3,20,3144,-19.048079500547292,6.799956018947416
