,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
0,15,CHEMAINUS,BC,-123.742,48.935,75,2.2,-17.245770999404836,4.407282646003369
1,78,SAANICHTON CDA,BC,-123.419,48.6217,61,1.4,-17.148279564593953,4.041211914509844
2,91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,2.4,-17.269400328837698,4.110152086638713
3,109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,1.3,-17.157965052632917,3.823732054743596
4,149,ALERT BAY,BC,-126.93299999999999,50.5833,59,1.6,-18.602265614133806,6.6747472272446595
5,159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,1.6,-17.835905794927697,5.703163327113734
6,170,CHATHAM POINT,BC,-125.446,50.3332,23,2.1,-17.80527022983485,6.099084371860609
7,174,COMOX A,BC,-124.9,49.7167,26,1.6,-17.69177543345937,5.398827057118161
8,214,NANAIMO A,BC,-123.87,49.0544,28,2.5,-17.285246670498605,4.547856150701866
9,228,PORT HARDY A,BC,-127.366,50.6803,22,0.7,-18.822471420345344,6.867169200978581
10,236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,1.2,-17.630534663570668,5.032427849855934
11,267,BULL HARBOUR,BC,-127.95,50.9167,14,0.9,-19.07644773785695,7.225774117220209
12,270,CAPE SCOTT,BC,-128.42700000000002,50.7822,72,0.4,-19.408809155479275,7.217536626163485
13,277,ESTEVAN POINT,BC,-126.54299999999999,49.3833,6,0.9,-18.811593513119927,5.466629246781768
14,319,TOFINO A,BC,-125.773,49.0822,24,1.1,-18.449748667971477,5.0044347021713405
15,354,GIBSONS GOWER POINT,BC,-123.541,49.3856,34,0.9,-16.97143584939462,4.788781407389454
16,366,MERRY ISLAND LIGHTSTATION,BC,-123.913,49.4675,7,0.5,-17.173074384200916,4.946532338915584
17,393,SQUAMISH UPPER,BC,-123.281,49.8958,46,4.6,-16.64324273203796,5.2151149274009825
18,402,WHISTLER,BC,-122.955,50.1289,658,5.4,-16.368037148016132,5.367198301998756
19,409,CAPE ST JAMES,BC,-131.017,51.9333,92,0.8,-20.436114299632873,8.9221102400567
20,417,LANGARA,BC,-133.058,54.2552,43,1.3,-20.54536787529786,11.545163694436308
21,432,SANDSPIT A,BC,-131.813,53.2539,6,1.3,-20.314453931732185,10.323304131822256
22,465,ETHELDA BAY,BC,-129.683,53.05,10,1.8,-19.221120663833677,9.606712845887811
23,469,GREEN ISLAND,BC,-130.708,54.5686,12,0.7,-19.14849221056054,11.239871559683275
24,489,MCINNES ISLAND,BC,-128.719,52.2617,26,1.1,-18.9954872190085,8.650836671452103
25,500,PRINCE RUPERT A,BC,-130.445,54.2925,35,1.7,-19.12359427311639,10.925168419012316
26,517,STEWART A,BC,-129.985,55.9361,7,9.0,-18.18701005126701,12.314069788778712
27,522,TERRACE A,BC,-128.577,54.4664,217,5.5,-18.038806278710556,10.64544044520589
28,568,NASS CAMP,BC,-129.03,55.2375,195,5.8,-17.971764008077084,11.456778063183705
29,575,SMITHERS A,BC,-127.18299999999999,54.8247,522,2.7,-17.140960439352252,10.665533425795687
30,724,PRINCE GEORGE A,BC,-122.679,53.8908,691,2.9,-14.978951097074027,8.871679997996239
31,737,QUESNEL A,BC,-122.51,53.0261,545,3.5,-15.164130981795742,8.020634284705773
32,747,SPOKIN LAKE 4E,BC,-121.686,52.1836,1033,3.2,-14.953217742857733,7.063303973997932
33,759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,3.2,-15.169367061339733,7.133331673139345
34,782,ABBOTSFORD A,BC,-122.36,49.0253,59,1.5,-16.35606704872496,4.198174141908334
35,789,AGASSIZ CDA,BC,-121.76,49.2431,15,1.7,-15.91382619343588,4.282087444883862
36,1095,HOPE A,BC,-121.49799999999999,49.3683,39,3.1,-15.712158813189633,4.348558395632354
37,1103,HOPE SLIDE,BC,-121.23299999999999,49.2667,685,5.0,-15.578263258483593,4.1991101393692425
38,1118,LYTTON,BC,-121.583,50.2333,229,2.0,-15.497821704493647,5.1885658794574345
39,1147,HEDLEY,BC,-120.07700000000001,49.3572,517,1.4,-14.8297517816315,4.062019040754055
40,1157,KELOWNA A,BC,-119.37799999999999,49.9561,430,1.4,-14.223333606531087,4.506705494696642
41,1217,PENTICTON A,BC,-119.602,49.4631,344,0.8,-14.502483686793461,4.074800059239958
42,1220,PRINCETON A,BC,-120.51299999999999,49.4678,702,2.6,-15.069322822765542,4.250712703917452
43,1237,VERNON NORTH,BC,-119.271,50.3443,538,1.7,-14.047864832441528,4.859998740791233
44,1243,WINFIELD,BC,-119.416,50.0366,506,1.4,-14.224088312309972,4.590826836110048
45,1278,CASTLEGAR A,BC,-117.632,49.2964,496,2.7,-13.311122271809033,3.5652891404836695
46,1287,CRESTON,BC,-116.51799999999999,49.0971,610,1.9,-12.656336194902284,3.187961984628174
47,1318,NEW DENVER,BC,-117.37,49.9958,568,2.7,-12.965453311805444,4.196953729114685
48,1343,NELSON RIXEN CREEK,BC,-117.399,49.5123,760,3.8,-13.108365117454234,3.7345715322890913
49,1355,CRANBROOK A,BC,-115.78200000000001,49.6122,940,2.0,-12.06538588634602,3.5715594149337595
50,1392,SPARWOOD,BC,-114.883,49.7453,1138,1.9,-11.467506817735874,3.565855703432369
51,1418,BLUE RIVER A,BC,-119.29,52.129,690,5.7,-13.555416375438215,6.576161870116752
52,1442,CRISS CREEK,BC,-120.728,51.0297,1122,2.1,-14.73613903296527,5.783119687623349
53,1443,DARFIELD,BC,-120.18299999999999,51.2918,466,1.5,-14.330120957742263,5.932724915674236
54,1461,KAMLOOPS A,BC,-120.44200000000001,50.7022,345,1.5,-14.660457567490104,5.416834683190573
55,1497,100 MILE HOUSE 6NE,BC,-121.21700000000001,51.6814,928,2.6,-14.83152150856505,6.4965383453506425
56,1516,SILVER CREEK,BC,-119.35,50.5452,419,2.2,-14.03967533064155,5.066941291229419
57,1542,VIDETTE LAKE SHARPE LAKE,BC,-120.839,51.3265,1083,1.8,-14.713699399972128,6.087149700909907
58,1566,GLACIER NP ROGERS PASS,BC,-117.51700000000001,51.3017,1330,9.9,-12.71709709241998,5.482574779413113
59,1568,GOLDEN A,BC,-116.98200000000001,51.2992,785,2.9,-12.39295400636217,5.394415140675882
60,1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,5.7,-13.203936242889501,5.253797842772089
61,1597,GLACIER NP MT FIDELITY,BC,-117.70100000000001,51.2382,1890,20.4,-12.84537403334695,5.45128229469057
62,1615,CHETWYND A,BC,-121.62700000000001,55.6872,610,2.1,-13.816510353920053,10.382100207627825
63,1630,FORT ST JOHN A,BC,-120.74,56.2381,695,3.6,-13.163717285063106,10.753806257076697
64,1634,GERMANSEN LANDING,BC,-124.70100000000001,55.7855,766,3.5,-15.445471313000713,11.047399217578207
65,1683,DEASE LAKE,BC,-130.011,58.4283,807,3.1,-17.142096595521583,14.58973720034851
66,1686,FORT NELSON A,BC,-122.59700000000001,58.8364,382,2.7,-13.294599528109782,13.53351926237463
67,1769,BURWASH A,YT,-139.05,61.3667,806,1.5,-19.882004589804254,19.306314193603082
68,1780,DAWSON,YT,-139.433,64.05,320,3.3,-18.5250048011659,21.676001032265592
69,1782,DAWSON A,YT,-139.128,64.0431,370,2.3,-18.407519961095826,21.598938834154087
70,1796,FARO A,YT,-133.373,62.2069,716,1.8,-16.97524634774574,18.714427641818464
71,1806,HAINES JUNCTION,YT,-137.58,60.7725,595,2.0,-19.560582555173415,18.4310010060796
72,1829,MAYO A,YT,-135.86700000000002,63.6167,504,2.8,-17.3192127506522,20.495251114049235
73,1879,TESLIN A,YT,-132.736,60.1741,705,3.2,-17.660877209858345,16.76506763477859
74,1887,WATSON LAKE A,YT,-128.822,60.1165,687,3.3,-15.851020784876589,15.880923220563833
75,1893,WHITEHORSE A,YT,-135.069,60.7095,706,2.0,-18.468791200743226,17.7729222850007
76,1912,CAPE PARRY A,NT,-124.71700000000001,70.1667,87,1.1,-9.983429469768042,24.460936365558343
77,1944,FORT RELIANCE,NT,-109.167,62.7167,166,2.8,-5.7587229165762075,15.66795069496372
78,1947,FORT RESOLUTION A,NT,-113.69,61.1808,160,2.9,-8.223670798368683,14.565388662023608
79,1951,FORT SIMPSON A,NT,-121.23700000000001,61.7603,169,2.7,-11.662896594650553,16.085824204153216
80,1959,FORT SMITH A,NT,-111.962,60.0203,205,2.4,-7.616430689969889,13.254432412961972
81,1968,HAY RIVER A,NT,-115.78299999999999,60.8397,165,3.0,-9.324605930233329,14.468960203336742
82,1979,INUVIK A,NT,-133.483,68.3042,68,3.0,-13.935204799901314,24.11612349673207
83,1994,NORMAN WELLS A,NT,-126.8,65.2825,73,3.8,-12.797273633836445,20.25328633221057
84,2027,TUKTOYAKTUK,NT,-133.0,69.45,18,1.8,-13.16333698797708,25.03831355202299
85,2029,TUKTOYAKTUK A,NT,-133.026,69.4333,4,2.1,-13.181003907270492,25.028017177100875
86,2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,1.9,-8.283411299371597,15.8941364226464
87,2047,YOHIN,NT,-123.742,61.2419,204,2.5,-13.014781168462859,15.991103468858041
88,2064,BAKER LAKE A,NU,-96.0778,64.2989,19,3.2,0.41775555963923183,16.80137872475479
89,2072,CHESTERFIELD,NU,-90.7167,63.3333,6,3.2,2.928277120662789,15.951712281201985
90,2077,CLINTON POINT,NU,-120.8,69.5833,101,1.6,-8.826311309401945,23.44235374761187
