,ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,552,1011,3829.15,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,1.1524816338539046,3247.125151177012,0.9773062166686053
1,552,1017,3734.15,-4.547676802314419,10.753981582871328,41.95,-82.5167,POINT PELEE,1.167578151873642,3125.622043472444,0.9773062166686053
2,553,1007,3635.15,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,1.0628516599339903,3342.5687021493877,0.9773062166686053
3,557,1013,3672.15,-4.315023156750626,10.546375569046994,42.2167,-82.7333,WOODSLEE CDA AUTOMATIC CLIMATE STATION,1.080631817436223,3321.0340151320083,0.9773062166686053
4,558,1009,3652.15,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.046671934334214,3410.112359109593,0.9773062166686053
5,559,1009,3438.15,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,0.9802003372800304,3427.998584619158,0.9773062166686053
6,563,1021,3715.15,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,1.0832077069712125,3351.932567954728,0.9773062166686053
7,565,1026,3863.15,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN AUTOMATIC CLIMATE STATION,1.105289728247723,3415.8288224652197,0.9773062166686053
8,567,1020,4041.15,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,1.14599819573021,3446.2890362351923,0.9773062166686053
9,567,1030,3925.15,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,1.1067415827252958,3466.096834376311,0.9773062166686053
10,570,1015,3851.15,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,1.0756552909357868,3499.0325135192247,0.9773062166686053
11,572,1036,4141.15,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,1.1326252599380993,3573.2662711216435,0.9773062166686053
12,574,1019,3875.15,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,1.0650005144537855,3556.0623061912024,0.9773062166686053
13,574,1035,3936.15,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,1.0646037695935988,3613.3855379909232,0.9773062166686053
14,576,1017,4044.15,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.1081620188338541,3566.6020572510856,0.9773062166686053
15,577,1027,4000.15,-3.4287712141454625,11.19222001370236,42.9653,-81.6464,STRATHROY,1.0840191234191083,3606.367616722812,0.9773062166686053
16,578,1041,4175.15,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,1.1097145026494486,3676.9818190011506,0.9773062166686053
17,578,1043,3976.15,-3.3978654581494028,11.864307220593831,42.8606,-80.7406,TILLSONBURG NORTH,1.058936618352169,3669.639944507559,0.9773062166686053
18,579,1046,4161.15,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.1122407176167488,3656.328795626649,0.9773062166686053
19,580,1030,4118.15,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,1.1006791308146318,3656.554833737123,0.9773062166686053
20,580,1035,4143.65,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,1.0860252947361178,3728.84031737294,0.9773062166686053
21,581,1023,3913.15,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,1.067358805352687,3582.9992712648077,0.9773062166686053
22,581,1041,4174.15,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,1.0899256039684417,3742.845134983522,0.9773062166686053
23,581,1061,4047.15,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,1.1168193254255117,3541.5798820309296,0.9773062166686053
24,582,1053,4051.15,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,1.0911165346561185,3628.589572153102,0.9773062166686053
25,584,1041,4193.15,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,1.0771350156214394,3804.5291472208596,0.9773062166686053
26,584,1067,3796.15,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,1.0230155971860821,3626.534145335902,0.9773062166686053
27,585,1071,3965.15,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,1.049840823870665,3691.193614224437,0.9773062166686053
28,586,1026,4045.15,-3.030893850334344,11.134815531368883,43.3667,-81.6167,DASHWOOD,1.0775242538663818,3668.919959965229,0.9773062166686053
29,586,1028,4097.15,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,1.0775221705191913,3716.0907452089027,0.9773062166686053
30,586,1050,4210.15,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,1.0972885546049205,3749.7937537394573,0.9773062166686053
31,586,1053,4117.15,-3.0383087763253003,12.316670694692613,43.1167,-80.0333,MIDDLEPORT TS,1.0853015645201753,3707.4638252604755,0.9773062166686053
32,586,1066,4003.15,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,1.088066334833672,3595.6478534509424,0.9773062166686053
33,587,1054,4180.15,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.1056998248871024,3694.7519477308397,0.9773062166686053
34,587,1065,4004.15,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,1.0975563723370294,3565.448469075933,0.9773062166686053
35,588,1030,4410.15,-2.9411848050342453,11.327074768748721,43.4167,-81.3333,CROMARTY,1.1344433985877092,3799.2790268837884,0.9773062166686053
36,588,1036,4330.15,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,1.0928447143727968,3872.35483545923,0.9773062166686053
37,589,1051,4225.15,-2.921194219220219,12.228510396755627,43.25,-80.1167,COPETOWN,1.087575930796753,3796.760524418996,0.9773062166686053
38,589,1060,3711.15,-2.8973514657298165,12.640676415959707,43.1836,-79.5583,GRIMSBY MOUNTAIN,1.0080619229409178,3597.9237817142193,0.9773062166686053
39,589,1062,3800.15,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,1.0398986609824772,3571.4155221282485,0.9773062166686053
40,589,1063,3666.15,-2.9071695462038596,12.748976914625931,43.15,-79.4167,VINELAND,1.0062134630633464,3560.826124639163,0.9773062166686053
41,590,1045,4461.15,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,1.117013110357553,3903.185726347968,0.9773062166686053
42,590,1054,3969.15,-2.849872870422637,12.377668358906202,43.287499999999994,-79.89580000000001,HAMILTON RBG,1.0330240967615194,3755.0672651789123,0.9773062166686053
43,590,1065,3790.15,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,1.0389457648742713,3565.2844280613367,0.9773062166686053
44,590,1068,3842.15,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,1.050963848646143,3572.8698805486383,0.9773062166686053
45,591,1045,4344.15,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,1.081570527636264,3925.3702765176677,0.9773062166686053
46,591,1053,4210.15,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,1.0805192413201548,3807.9893543405974,0.9773062166686053
47,591,1066,3843.15,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.0527389395802542,3567.7737807319154,0.9773062166686053
48,592,1046,4431.15,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.1013347402026437,3932.129155568332,0.9773062166686053
49,592,1067,3867.15,-2.763299215491138,12.928027217189955,43.25,-79.1333,NIAGARA ON THE LAKE,1.058574562874923,3570.263133402493,0.9773062166686053
50,594,1023,4274.15,-2.6644143539380045,11.012430916195237,43.75,-81.6833,SALTFORD,1.0944705680349824,3816.5972553047263,0.9773062166686053
51,595,1023,4009.15,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.020284625490091,3840.2688040847993,0.9773062166686053
52,595,1028,4448.15,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,1.1096414281723914,3917.666137280415,0.9773062166686053
53,595,1048,4511.15,-2.643659519903253,12.093245084716763,43.55,-80.2167,GUELPH ARBORETUM,1.1113226855255338,3967.1420342145816,0.9773062166686053
54,596,1039,4558.15,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,1.1030091202498828,4038.686761265224,0.9773062166686053
55,596,1044,4541.15,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA AUTOMATIC CLIMATE STATION,1.0971362473926862,4045.1622452285615,0.9773062166686053
56,598,1044,4528.15,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,1.0867835582871141,4072.0059769608833,0.9773062166686053
57,598,1045,4526.15,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,1.089605107796968,4059.667581329704,0.9773062166686053
58,598,1053,4536.15,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,1.125890882897121,3937.510874352093,0.9773062166686053
59,599,1025,4476.15,-2.442376887557362,11.10292505991431,43.95,-81.5,LUCKNOW,1.1239338574105202,3892.194538760436,0.9773062166686053
60,599,1061,3971.15,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,1.0401322884291513,3731.284592832721,0.9773062166686053
61,600,1057,4100.15,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.0437150932932058,3839.2681202207027,0.9773062166686053
62,600,1060,3761.15,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,0.9722696723453148,3780.633482021865,0.9773062166686053
63,602,1044,4832.15,-2.3358602778749833,11.939964180370309,43.8833,-80.3333,GRAND VALLEY WPCP,1.1446536935105185,4125.693440425529,0.9773062166686053
64,602,1056,4482.15,-2.3191600885020183,12.478488442384476,43.7833,-79.6,WOODBRIDGE,1.1202072982846316,3910.377182641933,0.9773062166686053
65,603,1043,4964.15,-2.2644885750578165,11.875340169110592,43.9667,-80.4,MONTICELLO,1.168625499359018,4151.453701922869,0.9773062166686053
66,603,1048,4706.15,-2.2636477744192036,12.106430139619064,43.9184,-80.0864,ORANGEVILLE MOE,1.1246008844101103,4089.761723766974,0.9773062166686053
67,603,1059,3996.15,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,1.002008400464517,3897.634227347525,0.9773062166686053
68,604,1022,4063.15,-2.241321589381504,10.972174998558373,44.1728,-81.6233,KINCARDINE,1.0283921985962834,3861.3106552901017,0.9773062166686053
69,604,1062,4158.15,-2.24387654203197,12.73301417766345,43.8,-79.2333,TORONTO MALVERN,1.0460487978323514,3884.89127205312,0.9773062166686053
70,605,1033,4580.15,-2.20819786821322,11.417963386519043,44.1164,-81.0058,HANOVER,1.093192934451956,4094.61946487858,0.9773062166686053
71,605,1058,4189.15,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.0294961062281787,3976.782731657919,0.9773062166686053
72,605,1059,4364.15,-2.203136713592852,12.612519283256612,43.8667,-79.3833,GORMLEY ARDENLEE,1.076705687720164,3961.2597705370313,0.9773062166686053
73,605,1060,4224.15,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.0462654390148127,3945.7368094161443,0.9773062166686053
74,607,1026,4593.15,-2.1129955462159336,11.13405684862998,44.2667,-81.3667,PAISLEY,1.134875642981176,3955.423730215577,0.9773062166686053
