,ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
0,552,1011,257.34999999999997,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.985523811229772,262.3154966415656,1.0045392189423983
1,558,1009,256.54999999999995,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9979639019212916,258.2403392783218,1.0045392189423983
2,560,1026,258.15,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),0.9809091589924259,264.368822528226,1.0045392189423983
3,565,1026,253.84999999999997,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,0.9759355109105752,261.29009332860886,1.0045392189423983
4,580,1035,254.74999999999997,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,0.9968342101143309,256.71908470740084,1.0045392189423983
5,587,1054,254.64999999999998,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.9993387542787497,255.97517459262735,1.0045392189423983
6,590,1054,255.64999999999998,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.004448256943463,255.67315145142328,1.0045392189423983
7,590,1063,257.84999999999997,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.9874538484895988,262.3114366311832,1.0045392189423983
8,595,1023,256.45,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.0001866638848,257.5660044267993,1.0045392189423983
9,600,1057,254.04999999999998,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.001789809543855,254.74723953173165,1.0045392189423983
10,600,1060,256.04999999999995,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9993378600784387,257.3826903646103,1.0045392189423983
11,603,1037,252.14999999999998,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.9935533189822278,254.9380684629936,1.0045392189423983
12,605,1060,252.84999999999997,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9987555986980454,254.31421044416766,1.0045392189423983
13,611,1078,253.45,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.9845764289063936,258.5888282169676,1.0045392189423983
14,613,1095,253.14999999999998,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),0.9543047820619716,266.47577174013804,1.0045392189423983
15,616,1043,254.84999999999997,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,0.9986986940505653,256.34039723146793,1.0045392189423983
16,617,1087,250.74999999999997,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.9843296516747067,255.8982234470453,1.0045392189423983
17,618,1028,254.34999999999997,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9749758232891018,262.0624473292567,1.0045392189423983
18,618,1054,248.24999999999997,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.9879374481754797,252.4217110739135,1.0045392189423983
19,620,1059,248.64999999999998,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,0.9909300700250097,252.0648876703512,1.0045392189423983
20,635,1042,247.54999999999998,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,0.9881525235683759,251.65516225287817,1.0045392189423983
21,639,1000,248.14999999999998,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9624173081223659,259.0107275469552,1.0045392189423983
22,644,1017,249.54999999999998,-0.46295019102332147,10.716661964189273,45.9667,-81.4833,KILLARNEY (AUT),0.9780178166272083,256.31717318972767,1.0045392189423983
23,645,1068,242.14999999999998,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,0.9787892523423422,248.52047699214282,1.0045392189423983
