,Q10_Gumbel-MM,Location,lat,lon,rlat,rlon
0,0.123,100 Mile House,51.64,-121.3,6.473,-14.894
1,0.172,Abbotsford,49.05,-122.33,4.215,-16.33
2,0.153,Agassiz,49.24,-121.76,4.279,-15.915
3,0.166,Alberni,49.27,-124.8,4.957,-17.786
4,0.192,Ashcroft,50.72,-121.28,5.593,-15.164
5,0.428,Bamfield,48.83,-125.13,4.62,-18.142
6,0.171,Beatton River,57.38,-121.41,11.953,-13.162
7,0.483,Bella Bella,52.16,-128.14,8.419,-18.705
8,0.425,Bella Coola,52.37,-126.75,8.292,-17.829
9,0.104,Burns Lake,54.23,-125.75,9.806,-16.578
10,0.195,Cache Creek,50.81,-121.32,5.686,-15.16
11,0.323,Campbell River,50.02,-125.24,5.759,-17.792
12,0.134,Carmi,49.5,-119.12,4.022,-14.191
13,0.121,Castlegar,49.33,-117.67,3.604,-13.326
14,0.163,Chetwynd,55.7,-121.63,10.395,-13.814
15,0.143,Chilliwack,49.17,-121.95,4.251,-16.055
16,0.345,Comox,49.67,-124.93,5.362,-17.726
17,0.339,Courtenay,49.69,-125.0,5.396,-17.762
18,0.157,Cranbrook,49.51,-115.77,3.47,-12.082
19,0.131,Crescent Valley,49.45,-117.56,3.701,-13.226
20,0.401,Crofton,48.86,-123.64,4.314,-17.207
21,0.204,Dawson Creek,55.76,-120.24,10.214,-13.038
22,0.164,Dease Lake ,58.44,-130.0,14.598,-17.132
23,0.171,Dog Creek,51.58,-122.3,6.609,-15.506
24,0.362,Duncan,48.78,-123.71,4.254,-17.278
25,0.188,Elko,49.3,-115.12,3.167,-11.719
26,0.182,Fernie,49.5,-115.06,3.353,-11.635
27,0.135,Fort Nelson,58.8,-122.71,13.518,-13.364
28,0.258,Fort St. John,56.25,-120.85,10.784,-13.219
29,0.252,Glacier,51.27,-117.52,5.452,-12.727
30,0.422,Gold River ,49.78,-126.78,5.892,-18.809
31,0.252,Golden,51.3,-116.96,5.392,-12.379
32,0.116,Grand Forks,49.03,-118.44,3.449,-13.892
33,0.133,Greenwood,49.09,-118.68,3.549,-14.028
34,0.162,Hope,49.38,-121.44,4.348,-15.673
35,0.419,Jordan River ,48.42,-124.05,3.99,-17.611
36,0.175,Kamloops,50.68,-120.34,5.377,-14.605
37,0.186,Kaslo,49.91,-116.91,4.039,-12.7
38,0.166,Kelowna,49.89,-119.5,4.465,-14.318
39,0.164,Kimberley,49.69,-115.98,3.678,-12.171
40,0.366,Kitimat Plant,54.0,-128.7,10.245,-18.293
41,0.375,Kitimat Townsite,54.05,-128.65,10.279,-18.245
42,0.327,Ladysmith,48.99,-123.82,4.476,-17.276
43,0.39,Langford,48.45,-123.5,3.897,-17.256
44,0.271,Lillooet,50.69,-121.93,5.691,-15.566
45,0.246,Lytton,50.23,-121.58,5.185,-15.497
46,0.128,Mackenzie,55.32,-123.09,10.3,-14.734
47,0.483,Masset,54.03,-132.18,11.117,-20.174
