,mean RH (%),Location,lat,lon,rlat,rlon
0,67.824,100 Mile House,51.64,-121.3,6.473,-14.894
1,76.841,Abbotsford,49.05,-122.33,4.215,-16.33
2,76.623,Agassiz,49.24,-121.76,4.279,-15.915
3,79.265,Alberni,49.27,-124.8,4.957,-17.786
4,65.293,Ashcroft,50.72,-121.28,5.593,-15.164
5,83.586,Bamfield,48.83,-125.13,4.62,-18.142
6,69.612,Beatton River,57.38,-121.41,11.953,-13.162
7,82.896,Bella Bella,52.16,-128.14,8.419,-18.705
8,76.865,Bella Coola,52.37,-126.75,8.292,-17.829
9,74.683,Burns Lake,54.23,-125.75,9.806,-16.578
10,65.812,Cache Creek,50.81,-121.32,5.686,-15.16
11,77.778,Campbell River,50.02,-125.24,5.759,-17.792
12,66.29,Carmi,49.5,-119.12,4.022,-14.191
13,66.95,Castlegar,49.33,-117.67,3.604,-13.326
14,65.012,Chetwynd,55.7,-121.63,10.395,-13.814
15,76.389,Chilliwack,49.17,-121.95,4.251,-16.055
16,78.764,Comox,49.67,-124.93,5.362,-17.726
17,79.12,Courtenay,49.69,-125.0,5.396,-17.762
18,65.866,Cranbrook,49.51,-115.77,3.47,-12.082
19,68.279,Crescent Valley,49.45,-117.56,3.701,-13.226
20,77.146,Crofton,48.86,-123.64,4.314,-17.207
21,64.125,Dawson Creek,55.76,-120.24,10.214,-13.038
22,74.403,Dease Lake ,58.44,-130.0,14.598,-17.132
23,67.22,Dog Creek,51.58,-122.3,6.609,-15.506
24,78.86,Duncan,48.78,-123.71,4.254,-17.278
25,65.755,Elko,49.3,-115.12,3.167,-11.719
26,65.231,Fernie,49.5,-115.06,3.353,-11.635
27,69.314,Fort Nelson,58.8,-122.71,13.518,-13.364
28,67.153,Fort St. John,56.25,-120.85,10.784,-13.219
29,73.681,Glacier,51.27,-117.52,5.452,-12.727
30,84.834,Gold River ,49.78,-126.78,5.892,-18.809
31,71.119,Golden,51.3,-116.96,5.392,-12.379
32,67.321,Grand Forks,49.03,-118.44,3.449,-13.892
33,66.512,Greenwood,49.09,-118.68,3.549,-14.028
34,75.348,Hope,49.38,-121.44,4.348,-15.673
35,82.296,Jordan River ,48.42,-124.05,3.99,-17.611
36,63.993,Kamloops,50.68,-120.34,5.377,-14.605
37,70.842,Kaslo,49.91,-116.91,4.039,-12.7
38,68.418,Kelowna,49.89,-119.5,4.465,-14.318
39,66.604,Kimberley,49.69,-115.98,3.678,-12.171
40,80.853,Kitimat Plant,54.0,-128.7,10.245,-18.293
41,80.741,Kitimat Townsite,54.05,-128.65,10.279,-18.245
42,77.098,Ladysmith,48.99,-123.82,4.476,-17.276
43,82.306,Langford,48.45,-123.5,3.897,-17.256
44,67.726,Lillooet,50.69,-121.93,5.691,-15.566
45,65.09,Lytton,50.23,-121.58,5.185,-15.497
46,72.338,Mackenzie,55.32,-123.09,10.3,-14.734
47,87.282,Masset,54.03,-132.18,11.117,-20.174
48,74.172,McBride,53.3,-120.17,7.851,-13.731
49,71.514,McLeod Lake,54.98,-123.05,9.972,-14.826
50,66.341,Merritt,50.11,-120.79,4.917,-15.049
51,77.149,Mission City,49.16,-122.28,4.309,-16.264
52,67.741,Montrose,49.08,-117.59,3.349,-13.341
53,76.695,Nakusp,50.24,-117.8,4.504,-13.169
54,77.344,Nanaimo,49.16,-123.94,4.663,-17.293
55,68.632,Nelson,49.49,-117.3,3.697,-13.052
56,82.156,Ocean Falls,52.35,-127.69,8.489,-18.374
57,64.169,Osoyoos,49.03,-119.47,3.635,-14.543
58,79.886,Parksville,49.32,-124.31,4.895,-17.467
59,62.564,Penticton,49.5,-119.59,4.108,-14.484
60,79.068,Port Alberni,49.23,-124.81,4.922,-17.806
61,86.62,Port Alice ,50.43,-127.49,6.665,-18.991
62,83.691,Port Hardy,50.72,-127.5,6.936,-18.887
63,84.648,Port McNeill,50.59,-127.08,6.716,-18.687
64,82.129,Port Renfrew ,48.56,-124.4,4.2,-17.782
65,77.069,Powell River,49.84,-124.52,5.43,-17.418
66,70.334,Prince George,53.91,-122.74,8.901,-15.007
67,82.819,Prince Rupert,54.31,-130.33,10.913,-19.054
68,67.133,Princeton,49.46,-120.51,4.243,-15.07
69,79.133,Qualicum Beach,49.35,-124.44,4.952,-17.537
70,86.608,Queen Charlotte City,53.25,-132.09,10.391,-20.468
71,69.513,Quesnel,52.98,-122.49,7.973,-15.168
72,76.831,Revelstoke,51.0,-118.2,5.305,-13.212
73,76.194,Salmon Arm,50.7,-119.28,5.203,-13.953
74,84.095,Sandspit,53.24,-131.82,10.313,-20.324
75,76.862,Sechelt,49.47,-123.76,4.916,-17.078
76,78.124,Sidney,48.65,-123.4,4.064,-17.127
77,71.313,Smith River,59.88,-126.43,15.197,-14.804
78,75.102,Smithers,54.78,-127.17,10.621,-17.151
79,82.741,Sooke,48.38,-123.73,3.881,-17.423
80,77.494,Squamish,49.7,-123.16,5.005,-16.633
81,81.421,Stewart,55.94,-129.94,12.307,-18.162
82,85.553,Tahsis,49.92,-126.66,5.994,-18.685
83,66.683,Taylor,56.16,-120.69,10.671,-13.161
84,78.647,Terrace,54.52,-128.6,10.7,-18.03
85,84.915,Tofino,49.15,-125.9,5.097,-18.503
86,68.457,Trail,49.09,-117.71,3.379,-13.414
87,83.006,Ucluelet,48.94,-125.55,4.82,-18.363
88,79.089,Burnaby (Simon Fraser Univ.),49.24,-122.97,4.529,-16.666
89,80.329,Cloverdale,49.11,-122.73,4.356,-16.559
90,79.076,Haney,49.22,-122.6,4.433,-16.443
91,79.519,Ladner,49.09,-123.08,4.411,-16.783
92,79.785,Langley,49.1,-122.66,4.332,-16.519
93,79.722,New Westminster,49.21,-122.91,4.488,-16.639
94,78.106,North Vancouver,49.32,-123.07,4.626,-16.702
95,78.91,Richmond,49.16,-123.14,4.49,-16.798
96,80.342,Surrey (88 Ave & 156 St.),49.16,-122.79,4.416,-16.581
97,78.194,Vancouver (city hall),49.26,-123.11,4.578,-16.747
98,78.508,Vancouver (Granville & 41 Ave),49.23,-123.14,4.556,-16.775
